"";"classe 1"
"worthy";0
"wallis";0
"suspense";0
"surprize";0
"stupid";0
"spread";0
"sex";0
"risk";0
"restraint";0
"pronounce";0
"presume";0
"northanger";0
"noble";0
"lovely";0
"fitzwilliam";0
"fifty";0
"display";0
"detain";0
"deeply";0
"create";0
"continual";0
"attribute";0
"undertake";0
"tremble";0
"sunday";0
"residence";0
"reconcile";0
"purchase";0
"peculiar";0
"mama";0
"lament";0
"independent";0
"honourable";0
"envy";0
"enscombe";0
"discovery";0
"discern";0
"delicate";0
"decision";0
"decidedly";0
"dashwoods";0
"complaint";0
"clothe";0
"christmas";0
"censure";0
"application";0
"abroad";0
"wall";0
"violent";0
"possess";0
"partial";0
"occasionally";0
"misfortune";0
"margaret";0
"interference";0
"forty";0
"fearful";0
"elliot_s";0
"dull";0
"disturb";0
"crown";0
"cheek";0
"bertrams";0
"awkward";0
"animation";0
"syllable";0
"supper";0
"superiority";0
"shrubbery";0
"season";0
"pace";0
"obligation";0
"jealousy";0
"generous";0
"existence";0
"east";0
"convenience";0
"continually";0
"condition";0
"conceive";0
"bye";0
"volume";0
"thankful";0
"symptom";0
"surround";0
"silly";0
"rule";0
"overpower";0
"openly";0
"monday";0
"maintain";0
"joke";0
"hesitate";0
"extreme";0
"drop";0
"discussion";0
"destroy";0
"departure";0
"conceit";0
"building";0
"withdraw";0
"wealth";0
"trick";0
"surprized";0
"shepherd";0
"reward";0
"resemblance";0
"oxford";0
"november";0
"loud";0
"lock";0
"library";0
"hurst";0
"hitherto";0
"haste";0
"guest";0
"grace";0
"cool";0
"brighton";0
"born";0
"betsey";0
"amazement";0
"amaze";0
"ability";0
"unlike";0
"tomorrow";0
"signify";0
"seize";0
"safety";0
"profess";0
"positive";0
"phillips";0
"nerve";0
"matrimony";0
"maple";0
"include";0
"imprudence";0
"hasten";0
"flow";0
"establishment";0
"elder";0
"ear";0
"displease";0
"despair";0
"cruel";0
"corner";0
"complain";0
"commission";0
"bend";0
"aunt_s";0
"ascertain";0
"apparent";0
"alike";0
"voluntarily";0
"unreasonable";0
"twelvemonth";0
"steeles";0
"sensibility";0
"secrecy";0
"revive";0
"representation";0
"remind";0
"rapture";0
"peculiarly";0
"liberal";0
"green";0
"furnish";0
"fly";0
"flat";0
"fairly";0
"enable";0
"eliza";0
"displeasure";0
"discretion";0
"delaford";0
"declaration";0
"console";0
"chamber";0
"bright";0
"black";0
"bid";0
"argument";0
"wretchedness";0
"unworthy";0
"unwelcome";0
"thither";0
"terror";0
"tease";0
"solitude";0
"scold";0
"sanguine";0
"ring";0
"quickly";0
"quality";0
"puzzle";0
"previously";0
"prejudice";0
"pleasantly";0
"pen";0
"newspaper";0
"manage";0
"likeness";0
"interruption";0
"injury";0
"imprudent";0
"extent";0
"exist";0
"desert";0
"contrast";0
"camden";0
"calculate";0
"bennet_s";0
"affliction";0
"acquit";0
"accommodation";0
"acceptable";0
"wednesday";0
"vary";0
"trial";0
"staid";0
"soothe";0
"sofa";0
"selfishness";0
"repeatedly";0
"remarkable";0
"recall";0
"quarrel";0
"prompt";0
"perfection";0
"passion";0
"lodge";0
"honest";0
"hesitation";0
"grief";0
"fullerton";0
"front";0
"forbid";0
"false";0
"engross";0
"devote";0
"desirous";0
"dangerous";0
"dalrymple";0
"cost";0
"converse";0
"congratulation";0
"careless";0
"board";0
"blow";0
"autumn";0
"weight";0
"virtue";0
"unexpected";0
"treatment";0
"travelling";0
"tenant";0
"temptation";0
"stir";0
"retire";0
"reception";0
"proportion";0
"privilege";0
"precede";0
"plainly";0
"persevere";0
"nervous";0
"necklace";0
"mod";0
"lodging";0
"land";0
"insensible";0
"impose";0
"heighten";0
"forbearance";0
